N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
38,삼성화재,"192,500","3,500",-1.79%,500,"91,197","47,375",49.81,"93,522",8.43,7.09,
39,삼성에스디에스,"117,000","2,500",+2.18%,500,"90,532","77,378",13.35,"126,333",11.90,8.80,
40,삼성전기,"119,500","1,000",-0.83%,"5,000","89,259","74,694",25.78,"466,986",8.99,14.29,
41,대한항공,"23,150",500,+2.21%,"5,000","85,243","368,221",14.23,"2,159,769",5.41,11.60,
42,우리금융지주,"11,250",100,-0.88%,"5,000","81,907","728,061",40.05,"2,845,765",2.79,10.59,
43,LG이노텍,"309,500","15,000",-4.62%,"5,000","73,250","23,667",24.55,"897,166",7.60,30.94,
44,엔씨소프트,"329,000","2,000",+0.61%,500,"72,229","21,954",42.64,"110,972",14.19,12.62,
45,기업은행,"9,560",60,-0.62%,"5,000","71,155","744,301",13.40,"1,358,719",3.14,9.21,
46,카카오페이,"52,600",400,-0.75%,500,"69,764","132,631",43.44,"424,015",-265.66,-2.45,
47,SK바이오사이언스,"85,200",600,+0.71%,500,"65,420","76,784",3.80,"383,618",19.51,38.08,
48,아모레퍼시픽,"111,500","2,500",+2.29%,500,"65,219","58,493",25.64,"219,638",91.62,4.20,
49,현대글로비스,"170,500","1,000",+0.59%,500,"63,938","37,500",46.24,"71,141",6.18,14.41,
50,CJ제일제당,"420,000","14,500",+3.58%,"5,000","63,228","15,054",24.42,"68,820",10.60,10.76,
51,하이브,"140,000","1,000",-0.71%,500,"57,895","41,353",15.41,"218,839",24.67,6.83,
52,F&F,"146,000","1,000",+0.69%,100,"55,928","38,307",12.38,"94,088",15.27,N/A,
53,한국조선해양,"78,800","1,000",-1.25%,"5,000","55,769","70,773",20.28,"257,508",-8.04,-8.95,
54,롯데케미칼,"159,000","1,500",-0.93%,"5,000","54,498","34,275",23.42,"77,959",10.61,9.87,
55,강원랜드,"25,300",650,+2.64%,500,"54,127","213,940",22.34,"543,856",131.77,-0.33,
56,SK스퀘어,"36,150",850,-2.30%,100,"51,141","141,468",41.23,"542,300",2.24,N/A,
57,한온시스템,"9,580",190,-1.94%,100,"51,138","533,800",16.75,"872,663",27.37,13.83,
58,삼성중공업,"5,610",0,0.00%,"1,000","49,368","880,000",15.79,"4,205,707",-7.41,-36.89,
59,KODEX 200,"29,105",55,+0.19%,0,"48,882","167,950",2.46,"6,652,022",N/A,N/A,
60,LG유플러스,"11,150",0,0.00%,"5,000","48,682","436,611",37.56,"665,737",7.61,9.47,
61,맥쿼리인프라,"11,650",150,-1.27%,0,"47,164","404,846",13.71,"1,270,248",N/A,N/A,
62,넷마블,"54,600",100,+0.18%,100,"46,931","85,954",23.24,"181,600",-201.48,4.29,
63,한국항공우주,"46,850","1,450",-3.00%,"5,000","45,667","97,475",22.40,"1,920,216",53.85,5.19,
64,SK바이오팜,"58,200",500,-0.85%,500,"45,578","78,313",5.75,"109,088",-58.61,15.75,
65,한국타이어앤테크놀로지,"35,800",250,-0.69%,500,"44,347","123,875",36.09,"202,434",6.50,7.69,
66,HD현대,"55,900",200,-0.36%,"1,000","44,157","78,993",17.06,"164,598",4.97,-1.99,
67,삼성엔지니어링,"22,500",700,+3.21%,"5,000","44,100","196,000",40.06,"1,251,828",10.35,20.67,
68,현대건설,"39,600",550,+1.41%,"5,000","44,097","111,356",23.17,"574,705",7.81,5.89,
69,LG디스플레이,"12,300",50,-0.40%,"5,000","44,011","357,816",18.22,"1,844,501",20.92,9.68,
70,오리온,"109,000","6,500",+6.34%,500,"43,094","39,536",35.61,"261,820",14.75,12.75,
71,현대미포조선,"107,000","3,000",+2.88%,"5,000","42,738","39,942",20.12,"415,791",-101.42,-7.11,
72,SK아이이테크놀로지,"59,900",800,-1.32%,"1,000","42,707","71,298",9.79,"687,049",330.94,5.57,
73,롯데지주,"40,000",550,+1.39%,200,"41,964","104,909",9.50,"238,135",12.58,4.61,
74,DB손해보험,"57,500","2,200",-3.69%,500,"40,710","70,800",42.66,"133,113",4.24,13.38,
75,현대제철,"30,000",250,+0.84%,"5,000","40,034","133,446",20.80,"505,543",2.06,8.54,
76,코웨이,"53,900",500,+0.94%,500,"39,778","73,800",61.58,"128,087",8.09,27.41,
77,GS,"42,600",700,+1.67%,"5,000","39,582","92,915",24.38,"173,592",1.82,15.55,
78,유한양행,"53,800",500,+0.94%,"1,000","39,399","73,231",19.16,"105,970",40.91,5.45,
79,미래에셋증권,"6,080",10,-0.16%,"5,000","37,411","615,316",12.68,"974,612",4.93,11.66,
80,삼성카드,"31,000",0,0.00%,"5,000","35,916","115,859",6.69,"74,199",6.14,7.53,
81,메리츠화재,"31,250",700,-2.19%,500,"35,557","113,783",11.47,"136,714",4.65,26.12,
82,SKC,"92,800",800,-0.85%,"5,000","35,142","37,868",17.20,"233,632",11.97,11.60,
83,금호석유,"115,000","1,500",-1.29%,"5,000","34,840","30,296",20.58,"90,343",2.45,47.76,
84,TIGER 차이나전기차SOLACTIVE,"14,225",105,-0.73%,0,"34,094","239,680",0.75,"2,160,003",N/A,N/A,
85,한화에어로스페이스,"65,000","1,100",-1.66%,"5,000","32,910","50,630",22.33,"2,652,953",21.30,9.21,
86,쌍용C&E,"6,440",20,-0.31%,100,"32,449","503,860",2.62,"719,658",27.40,11.12,
87,한국가스공사,"34,250",200,+0.59%,"5,000","31,617","92,313",11.27,"261,892",2.30,11.63,
88,현대차2우B,"86,400",300,+0.35%,"5,000","31,523","36,485",59.91,"71,042",3.83,N/A,
89,NH투자증권,"9,150",70,-0.76%,"5,000","30,347","331,666",13.19,"573,517",4.71,14.77,
90,두산밥캣,"29,450",450,+1.55%,500,"29,523","100,249",25.92,"258,058",7.05,9.19,
91,KODEX KOFR금리액티브(합성),"100,855",5,0.00%,0,"29,222","28,974",0.00,"512,208",N/A,N/A,
92,현대로템,"26,700",250,-0.93%,"5,000","29,141","109,142",5.65,"3,302,257",34.86,5.01,
93,현대오토에버,"105,500","1,500",+1.44%,500,"28,932","27,424",1.95,"38,932",37.36,7.26,
94,호텔신라,"73,400","1,100",+1.52%,"5,000","28,808","39,248",16.30,"225,343",88.01,4.51,
95,한미약품,"232,000","6,000",+2.65%,"2,500","28,578","12,318",14.37,"52,295",36.26,8.75,
96,BGF리테일,"163,500","3,500",+2.19%,"1,000","28,259","17,284",31.48,"37,112",16.78,19.61,
97,삼성증권,"31,600",250,+0.80%,"5,000","28,219","89,300",26.90,"240,437",4.03,16.94,
98,에스디바이오센서,"27,100",400,+1.50%,500,"27,987","103,271",14.10,"302,825",2.40,72.47,
99,한국금융지주,"49,850",350,-0.70%,"5,000","27,779","55,726",33.41,"332,567",2.09,27.12,
100,메리츠금융지주,"21,700",450,-2.03%,500,"27,683","127,572",6.20,"251,537",2.92,22.33,
101,GS리테일,"26,350",700,+2.73%,"1,000","27,593","104,718",7.13,"177,218",3.41,25.58,
102,한진칼,"41,050","1,850",+4.72%,"2,500","27,406","66,762",16.02,"209,976",3.45,1.11,
103,포스코인터내셔널,"22,100",200,-0.90%,"5,000","27,266","123,375",9.55,"781,115",5.12,10.86,
104,팬오션,"5,060",170,+3.48%,"1,000","27,049","534,570",16.34,"3,428,717",3.42,17.16,
105,현대해상,"30,250",650,-2.10%,500,"27,044","89,400",32.40,"326,995",4.95,8.82,
106,일진머티리얼즈,"57,000",900,+1.60%,500,"26,283","46,111",10.13,"527,038",44.64,7.85,
107,씨에스윈드,"62,300",900,-1.42%,500,"26,273","42,171",11.10,"336,747",151.21,10.13,
108,제일기획,"22,300",200,-0.89%,200,"25,654","115,041",32.48,"265,007",13.97,15.58,
109,메리츠증권,"4,000",85,-2.08%,"1,000","25,588","639,711",13.70,"1,390,724",3.50,15.77,
110,롯데쇼핑,"89,900","3,600",+4.17%,"5,000","25,432","28,289",12.24,"85,843",-22.13,-2.94,
111,아모레G,"29,700",600,+2.06%,500,"24,490","82,458",14.70,"175,823",66.59,5.49,
112,이마트,"86,600","2,000",+2.36%,"5,000","24,140","27,876",26.66,"164,113",1.38,16.25,
113,신세계,"237,000","8,500",+3.72%,"5,000","23,333","9,845",27.25,"62,200",5.77,8.54,
114,KODEX 200선물인버스2X,"3,655",25,-0.68%,0,"23,282","637,000",2.56,"250,964,905",N/A,N/A,
115,한화시스템,"12,100",200,-1.63%,"5,000","22,859","188,919",3.05,"1,577,327",123.47,6.04,
116,OCI,"94,100",800,+0.86%,"5,000","22,442","23,849",10.46,"464,630",3.01,23.93,
117,한전기술,"57,900","1,800",+3.21%,200,"22,129","38,220",1.77,"236,266",129.82,3.25,
118,한미사이언스,"32,200",300,+0.94%,500,"22,097","68,624",1.81,"120,152",42.88,6.37,
119,만도,"46,750",850,+1.85%,"1,000","21,952","46,957",21.27,"256,447",20.82,9.31,
120,대우조선해양,"20,400","4,550",-18.24%,"5,000","21,887","107,291",2.47,"5,576,656",-1.95,-55.86,
121,CJ대한통운,"95,700",300,-0.31%,"5,000","21,831","22,812",18.36,"97,929",11.97,1.59,
122,KCC,"244,000","9,000",+3.83%,"5,000","21,683","8,886",10.31,"51,313",-8.54,-0.92,
123,영원무역,"48,600","1,000",+2.10%,500,"21,535","44,311",29.07,"90,815",4.72,14.71,
124,GS건설,"24,950",400,+1.63%,"5,000","21,353","85,581",32.59,"707,399",4.41,9.32,
125,TIGER 미국나스닥100,"72,580",780,+1.09%,0,"21,244","29,270",0.11,"192,010",N/A,N/A,
126,에스원,"55,900",100,-0.18%,500,"21,242","37,999",53.23,"92,658",17.31,9.13,
127,현대차우,"86,500",800,+0.93%,"5,000","21,069","24,357",57.72,"31,947",3.84,N/A,
128,CJ,"72,100",100,-0.14%,"5,000","21,037","29,177",17.48,"33,139",7.94,5.66,
129,동서,"21,000",250,+1.20%,500,"20,937","99,700",3.12,"64,002",18.04,8.05,
130,키움증권,"78,300",700,-0.89%,"5,000","20,530","26,220",24.64,"49,388",3.39,25.38,
131,KODEX 레버리지,"12,570",55,+0.44%,0,"20,495","163,050",2.15,"37,873,604",N/A,N/A,
132,휠라홀딩스,"33,450",650,+1.98%,"1,000","20,322","60,752",40.21,"565,991",9.68,16.20,
133,BNK금융지주,"6,210",130,-2.05%,"5,000","20,241","325,935",36.45,"2,047,562",2.44,8.76,
134,한솔케미칼,"176,500","1,500",-0.84%,"5,000","20,007","11,335",37.33,"67,340",13.20,23.88,
135,LG화학우,"258,500","2,500",-0.96%,"5,000","19,876","7,689",70.39,"11,767",9.11,N/A,
136,LIG넥스원,"90,100",200,+0.22%,"5,000","19,822","22,000",12.14,"182,744",13.34,14.63,
137,두산퓨얼셀,"30,100",350,+1.18%,100,"19,714","65,494",15.12,"351,526",255.08,1.69,
138,한화,"26,050",100,+0.39%,"5,000","19,527","74,959",16.94,"378,909",2.44,20.22,
139,TIGER 200,"29,130",70,+0.24%,0,"19,386","66,550",0.00,"1,141,188",N/A,N/A,
140,하이트진로,"27,500",900,+3.38%,"5,000","19,287","70,134",12.59,"276,448",20.48,6.62,
141,한화생명,"2,220",55,-2.42%,"5,000","19,281","868,530",7.39,"2,926,067",1.83,10.79,
142,LS,"59,200",400,-0.67%,"5,000","19,062","32,200",14.49,"115,808",5.94,8.15,
143,농심,"308,500","4,500",+1.48%,"5,000","18,765","6,083",13.27,"32,849",16.56,4.73,
144,TIGER 단기통안채,"101,325",5,0.00%,0,"18,629","18,385",4.13,"426,704",N/A,N/A,
145,대웅제약,"159,500","8,000",+5.28%,"2,500","18,481","11,587",8.59,"49,032",25.41,4.39,
146,대한전선,"1,485",5,+0.34%,100,"18,480","1,244,473",1.81,"9,193,157",39.08,7.78,
147,TIGER 미국S&P500,"13,215",35,+0.27%,0,"18,190","137,650",0.30,"1,269,499",N/A,N/A,
148,대우건설,"4,290",20,+0.47%,"5,000","17,830","415,623",10.44,"1,377,290",4.25,16.47,
149,DB하이텍,"40,050","2,100",+5.53%,"5,000","17,782","44,399",24.92,"2,625,244",3.37,33.35,
150,현대위아,"65,300",0,0.00%,"5,000","17,758","27,195",9.69,"198,238",7.85,1.96,
151,오뚜기,"481,500","8,000",+1.69%,"5,000","17,681","3,672",12.14,"5,340",11.82,8.91,
152,SK케미칼,"98,700","1,300",-1.30%,"5,000","17,392","17,621",16.99,"93,053",13.14,11.19,
153,코스모신소재,"56,000","1,000",+1.82%,"1,000","17,164","30,651",8.96,"569,610",69.48,9.42,
154,TIGER TOP10,"9,570",30,-0.31%,0,"17,049","178,150",1.83,"285,964",N/A,N/A,
155,KODEX 삼성그룹,"8,010",25,-0.31%,0,"16,212","202,400",0.53,"3,070,824",N/A,N/A,
156,에스엘,"34,450",500,+1.47%,500,"16,002","46,449",17.08,"181,195",15.70,6.63,
157,한전KPS,"35,450",800,+2.31%,200,"15,952","45,000",5.61,"186,318",23.52,9.12,
158,KODEX 단기채권PLUS,"103,970",125,-0.12%,0,"15,913","15,305",0.00,"1,749,542",N/A,N/A,
159,롯데정밀화학,"59,900","2,000",+3.45%,"5,000","15,454","25,800",19.68,"85,705",3.16,30.43,
160,롯데칠성,"165,500","2,500",+1.53%,500,"15,357","9,279",12.37,"36,502",10.10,9.96,
161,LX인터내셔널,"39,500",250,+0.64%,"5,000","15,310","38,760",30.60,"449,623",2.92,22.49,
162,효성첨단소재,"336,500","8,000",-2.32%,"5,000","15,075","4,480",6.49,"43,085",6.43,54.69,
163,효성,"71,000",500,-0.70%,"5,000","14,960","21,071",4.95,"75,567",5.00,18.04,
164,녹십자,"124,500","2,000",+1.63%,"5,000","14,550","11,687",22.14,"53,817",11.66,10.30,
165,DL이앤씨,"36,950",500,+1.37%,"5,000","14,297","38,694",21.78,"255,805",3.03,N/A,
166,TIGER 미국테크TOP10 INDXX,"10,695",165,+1.57%,0,"14,246","133,200",0.42,"392,934",N/A,N/A,
167,대성홀딩스,"88,500",300,-0.34%,"1,000","14,239","16,089",3.75,"85,624",62.06,3.61,
168,LS ELECTRIC,"47,350",450,+0.96%,"5,000","14,205","30,000",12.55,"92,254",15.36,5.86,
169,TIGER CD금리투자KIS(합성),"51,230",10,+0.02%,0,"14,165","27,650",0.00,"8,353",N/A,N/A,
170,두산,"85,400","1,500",+1.79%,"5,000","14,111","16,524",7.87,"451,817",-17.21,11.08,
171,JB금융지주,"7,100",60,-0.84%,"5,000","13,986","196,983",27.14,"234,301",2.55,12.80,
172,TIGER 미국필라델피아반도체나스닥,"9,245",70,+0.76%,0,"13,891","150,250",0.20,"790,007",N/A,N/A,
173,서울가스,"272,500",500,+0.18%,"5,000","13,625","5,000",3.80,"7,358",67.33,0.80,
174,동원시스템즈,"46,200",900,+1.99%,"5,000","13,394","28,991",13.18,"19,549",28.82,6.95,
175,DL,"63,000","1,200",-1.87%,"5,000","13,202","20,956",9.63,"93,674",8.48,26.52,
176,KODEX 단기채권,"103,630",10,+0.01%,0,"13,010","12,554",0.51,"260,089",N/A,N/A,
177,영풍,"702,000","17,000",-2.36%,"5,000","12,931","1,842",3.85,"8,101",7.22,3.66,
178,현대백화점,"55,100",800,+1.47%,"5,000","12,895","23,402",21.30,"150,927",6.03,4.36,
179,롯데제과,"133,000","5,000",+3.91%,500,"12,548","9,435",14.53,"42,663",25.83,2.88,
180,코오롱인더,"44,450",50,+0.11%,"5,000","12,232","27,519",17.02,"143,089",7.05,8.20,
181,KODEX 종합채권(AA-이상)액티브,"98,070",390,-0.40%,0,"12,132","12,371",0.00,"3,562",N/A,N/A,
182,한국앤컴퍼니,"12,650",50,+0.40%,500,"12,009","94,935",9.25,"64,309",5.31,5.53,
183,KODEX 2차전지산업,"18,320",30,-0.16%,0,"12,000","65,500",0.14,"2,402,446",N/A,N/A,
184,DGB금융지주,"7,090",160,-2.21%,"5,000","11,992","169,146",46.45,"752,107",2.35,9.63,
185,대웅,"20,600",450,+2.23%,500,"11,977","58,142",4.41,"68,456",10.62,11.13,
186,롯데리츠,"4,910",25,-0.51%,500,"11,930","242,969",10.87,"166,770",62.95,1.65,
187,TIGER 2차전지테마,"17,650",130,+0.74%,0,"11,923","67,550",0.07,"1,111,595",N/A,N/A,
188,한미반도체,"11,950",50,-0.42%,100,"11,821","98,920",5.11,"438,893",10.47,34.59,
189,롯데렌탈,"32,250",800,+2.54%,"5,000","11,814","36,634",4.79,"43,461",7.90,12.28,
190,후성,"12,700",50,+0.40%,500,"11,761","92,607",6.87,"1,535,361",15.78,9.61,
191,솔루스첨단소재,"33,350",250,+0.76%,100,"11,710","35,111",5.62,"223,303",149.55,4.00,
192,일진하이솔루스,"31,900",300,+0.95%,500,"11,584","36,313",1.43,"84,696",129.67,4.97,
193,동국제강,"12,100",50,-0.41%,"5,000","11,547","95,433",22.55,"721,260",1.46,23.41,
194,효성티앤씨,"264,000",0,0.00%,"5,000","11,425","4,328",9.27,"29,237",2.34,76.22,
195,대덕전자,"22,450",300,+1.35%,500,"11,094","49,417",18.88,"581,949",8.72,9.55,
196,ESR켄달스퀘어리츠,"5,200",90,-1.70%,"1,000","11,081","213,089",52.58,"91,898",35.62,3.24,
197,TIGER MSCI Korea TR,"11,885",10,-0.08%,0,"11,006","92,600",9.07,"3,353",N/A,N/A,
198,KODEX 200TR,"9,705",0,0.00%,0,"10,976","113,100",0.14,"443,517",N/A,N/A,
199,신풍제약,"20,300",50,-0.25%,500,"10,756","52,985",5.99,"294,934",-47.99,-3.19,
200,한샘,"45,350","1,100",+2.49%,"1,000","10,673","23,534",13.93,"66,101",34.88,9.10,
